341,Mayo,National,N5,0,2,8,10,53.803804,-9.505936,53.809557,-9.427227,5.29,Current
342,Mayo,Regional,R313,0,1,1,2,54.210496,-9.949844,54.202023,-9.91744,2.35,New
345,Mayo,Regional,R314,1,0,3,4,54.144655,-9.168802,54.119801,-9.160278,2.94,Current
347,Meath,Regional,R195,0,1,0,1,53.796228,-7.148216,53.769693,-7.162569,3.24,Current
350,Meath,Regional,R154,1,0,8,9,53.500926,-6.594884,53.53004,-6.688896,7.12,Current
355,Dublin,Regional,R135,0,2,12,14,53.522083,-6.412121,53.455111,-6.347932,8.64,Current
358,Meath,Regional,R161,0,1,7,8,53.650972,-6.686844,53.626447,-6.689609,2.78,Current
359,Meath,Regional,R162,1,2,6,9,53.713136,-6.692444,53.662137,-6.679914,6.06,Current
360,Meath,Regional,R147,1,1,4,6,53.659523,-6.722738,53.658654,-6.679661,3.21,Current
361,Meath,Regional,R941,0,1,2,3,53.738841,-6.868226,53.728058,-6.876734,1.39,Current
365,Meath,National,N52,0,1,0,1,53.783222,-6.750746,53.778289,-6.788517,2.68,Current
366,Meath,Regional,R162,2,2,2,6,53.73632,-6.712688,53.803275,-6.736924,7.75,Current
368,Meath,Regional,R162,1,0,0,1,53.890114,-6.802432,53.870158,-6.805856,2.27,Current
370,Meath,Regional,R132,0,2,2,4,53.687093,-6.297006,53.706804,-6.325112,3.02,Current
371,Meath,Regional,R132,0,1,3,4,53.66629,-6.276077,53.634758,-6.219769,5.23,Current
377,Roscommon,Regional,R368,2,0,4,6,53.785236,-8.10659,53.766158,-8.057926,4.97,Current
382,Roscommon,National,N63,1,0,1,2,53.639128,-8.162779,53.657541,-8.091825,5.12,Current
384,Roscommon,Regional,R446,2,0,1,3,53.411569,-7.984407,53.360493,-8.069541,9.16,Current
391,Waterford,National,N25,0,2,3,5,52.180012,-7.494736,52.121996,-7.564045,8.45,Current
396,Waterford,Regional,R684,1,0,2,3,52.217375,-7.03639,52.176612,-7.03421,5.04,Current
398,Waterford,Regional,R683,0,0,6,6,52.249258,-7.090416,52.236606,-7.060264,2.6,Current
400,Waterford,Regional,R680,0,3,34,37,52.242642,-7.167636,52.259931,-7.106033,4.94,Current
401,Waterford,Local,L1009,0,0,6,6,52.252299,-7.160541,52.258473,-7.1294,2.29,Current
402,Waterford,Regional,R448,1,0,3,4,52.268451,-7.126942,52.266643,-7.101945,1.9,Current
403,Waterford,Regional,R708,0,1,10,11,52.2543,-7.109243,52.235289,-7.104808,2.22,Current
406,Wexford,Regional,R772,0,1,3,4,52.68783,-6.275863,52.70802,-6.262564,2.44,Current
409,Wexford,Regional,R742,0,1,3,4,52.619327,-6.23312,52.64259,-6.23254,2.78,Current
410,,Wexford,National,N80,0,2,2,4,52.561878,-6.565374,52.597023,-6.583901,4.21,Current
411,,Wexford,Regional,R741,0,1,3,4,52.503101,-6.380405,52.459323,-6.400516,5.28,Current
412,,Wexford,Regional,R741,0,1,3,4,52.563378,-6.330636,52.51461,-6.367746,6.23,Current
413,,Wexford,Regional,R702,0,0,7,7,52.519345,-6.610428,52.502993,-6.572478,3.26,Current
419,,Wexford,Regional,R730,0,1,0,1,52.350611,-6.511357,52.350533,-6.49375,1.39,Current
420,Urban Road/Urban Street/Unclassified,Wexford,Whitemill Road,1,1,1,3,52.331549,-6.468458,52.32694,-6.484538,1.22,Current,
421,,Wexford,Regional,R733,0,0,6,6,52.31894,-6.51664,52.324107,-6.492645,1.77,Current
422,,Wexford,Regional,R733,1,0,3,4,52.313109,-6.529136,52.295834,-6.571467,3.57,New
423,,Kildare,National,N81,0,2,5,7,53.090442,-6.60662,53.142473,-6.559817,6.99,Current
428,,Wicklow,Regional,R772,0,2,7,9,52.797966,-6.152812,52.7875,-6.167709,1.82,Current
429,,Wicklow,Regional,R772,0,1,0,1,52.774434,-6.18003,52.787356,-6.167776,1.7,Current
431,,Wicklow,Regional,R772,0,2,0,2,52.941354,-6.113805,52.903176,-6.101866,4.89,Current
434,,Wicklow,Regional,R761,0,1,1,2,53.112611,-6.065734,53.084851,-6.067542,3.19,Current
436,,Wicklow,National,N81,0,0,10,10,53.167656,-6.537026,53.185273,-6.520423,2.27,Current
438,,Offaly,National,N52,0,2,5,7,53.123771,-7.87761,53.089947,-7.907537,4.7,Current
443,,Wexford,National,N25,0,1,9,10,52.39557,-6.945524,52.38515,-6.901434,5.03,Current
446,,Wexford,National,N30,0,1,1,2,52.440044,-6.734466,52.433554,-6.774047,2.95,Current
449,,Wexford,National,N11,0,1,0,1,52.497727,-6.56522,52.439968,-6.5389,6.89,Current
450,,Wexford,National,N11,0,1,1,2,52.590776,-6.492217,52.573529,-6.518054,2.8,Current
452,,Wexford,National,N80,0,1,5,6,52.654956,-6.650909,52.628224,-6.623768,3.6,Current
456,,Wexford,National,N25,1,0,9,10,52.337957,-6.515471,52.345138,-6.593835,5.49,Current
460,,Louth,Regional,R132,1,2,4,7,54.034987,-6.386493,54.012076,-6.403056,2.84,Current
462,Waterford,Regional,R680,0,0,9,9,52.239119,-7.251984,52.238884,-7.176938,6.1,Current,
463,,Kilkenny,National,N24,2,3,2,7,52.345407,-7.333149,52.351793,-7.386829,4.35,Current
468,,Donegal,National,N15,0,1,6,7,54.793271,-7.801873,54.804335,-7.753416,3.55,New
469,,Donegal,Regional,R252,1,0,1,2,54.799084,-7.782879,54.802348,-7.80508,1.6,Current
471,,Cavan,Regional,R162,0,1,1,2,54.014151,-6.926103,53.997402,-6.898094,2.75,Current
473,,Longford,National,N55,0,1,3,4,53.782775,-7.484686,53.773558,-7.493807,1.59,Current
474,,Galway,Regional,R338,0,2,27,29,53.282205,-9.04791,53.275351,-8.984867,4.43,Current
476,,Meath,Regional,R147,0,2,16,18,53.624286,-6.650342,53.655472,-6.687201,4.45,Current
478,,Dublin,Regional,R128,0,0,7,7,53.523785,-6.091347,53.521953,-6.147831,4.21,Current
479,,Dublin,Regional,R126,0,1,3,4,53.493484,-6.122774,53.485324,-6.150638,2.27,Current
480,,Dublin,Regional,R104,0,5,19,24,53.39709,-6.235341,53.389558,-6.197874,2.74,Current
481,Dublin,Regional,R807,0,1,6,7,53.362656,-6.178714,53.359736,-6.200128,1.62,Current,
482,Dublin,Regional,R103,0,1,4,5,53.388009,-6.299572,53.390784,-6.319665,1.4,Current,
483,Dublin,Regional,R107,0,5,36,41,53.382936,-6.205513,53.364481,-6.229493,2.65,Current,
484,Dublin,Regional,R147,2,3,17,22,53.361648,-6.298391,53.371854,-6.331091,2.46,Current,
485,Dublin,Regional,R147,0,3,26,29,53.361613,-6.298172,53.360746,-6.272876,1.69,Current,
486,Dublin,Regional,R135,0,3,27,30,53.36423,-6.27177,53.354469,-6.273307,1.11,Current,
488,Dublin,Regional,R803,1,5,44,50,53.362797,-6.236774,53.349935,-6.267989,2.61,Current,
489,Dublin,Regional,R105,2,10,70,82,53.36678,-6.220558,53.348989,-6.251547,3.04,Current,
490,Dublin,Regional,R148,0,17,82,99,53.344315,-6.3276,53.348965,-6.251631,5.4,Current,
491,Dublin,Regional,R148,0,6,57,63,53.348523,-6.251526,53.346875,-6.290776,2.79,Current,
492,Dublin,Regional,R110,1,8,63,72,53.333489,-6.291117,53.323302,-6.352402,4.36,Current,
493,Dublin,Regional,R137,0,7,14,21,53.332236,-6.275145,53.322829,-6.279177,1.1,Current,
494,Dublin,Regional,R818,0,1,3,4,53.31488,-6.313077,53.316961,-6.326202,0.92,Current,
495,Dublin,Regional,R819,0,2,14,16,53.316792,-6.333334,53.29159,-6.357379,3.4,Current,
496,Dublin,Regional,R136,0,1,3,4,53.284523,-6.393319,53.291007,-6.404592,1.04,Current,
497,Dublin,National,N81,1,3,24,28,53.288218,-6.339061,53.284252,-6.378243,2.67,Current,
501,,Clare,Regional,R352,0,1,3,4,52.847592,-8.98885,52.856558,-9.014445,2.05,Current
502,Limerick,Regional,R464,1,1,2,4,52.691842,-8.626244,52.673236,-8.640304,2.32,Current,
503,Limerick,Regional,R445,0,1,24,25,52.663569,-8.589062,52.673133,-8.517,5.07,Current,
504,Kilkenny,Regional,R697,0,1,4,5,52.650427,-7.251847,52.63478,-7.251674,1.86,Current,
507,,Cork,National,N22,2,1,8,11,51.874451,-8.551992,51.883029,-8.674479,8.76,Current
508,,Cork,Regional,R608,1,5,20,26,51.89523,-8.476241,51.88613,-8.609543,9.64,Current
509,,Cork,Regional,R635,0,1,10,11,51.912494,-8.471018,51.903266,-8.425794,4.58,Current
512,,Cork,Regional,R610,0,4,26,30,51.874096,-8.434575,51.899639,-8.465884,3.98,Current
514,Urban Road/Urban Street/Unclassified,Cork,Donnybrook Hill,0,1,1,2,51.870821,-8.438577,51.864755,-8.439695,0.7,Current,
515,Urban Road/Urban Street/Unclassified,Cork,Harbour View Road,0,0,8,8,51.902622,-8.511544,51.906869,-8.496283,1.27,Current,
517,,Mayo,National,N59,1,0,3,4,53.906069,-9.674622,53.905504,-9.750139,5.21,Current
518,,Mayo,National,N5,0,2,1,3,53.905017,-9.044097,53.892644,-9.135638,6.8,Current
519,,Mayo,National,N5,1,0,5,6,53.951755,-8.907919,53.923993,-8.977177,5.65,Current
520,,Mayo,Local,L1331,2,0,2,4,53.955065,-8.837627,53.959372,-8.760255,5.45,Current
521,,Mayo,National,N17,0,2,2,4,53.872955,-8.842733,53.83346,-8.863696,4.83,Current
522,,Mayo,National,N60,0,1,1,2,53.749131,-8.794116,53.731314,-8.864221,5.39,Current
524,,Mayo,National,N60,1,1,3,5,53.800898,-9.11948,53.769384,-9.056518,5.71,Current
528,,Mayo,National,N5,0,3,1,4,53.820597,-9.366226,53.81364,-9.407634,2.96,Current
